260,3-260,筷子,kuai4 zi5,"chopsticks; CL:對|对[dui4],根[gen1],把[ba3],雙|双[shuang1]",,
261,1-53,来,lai2,to come; to arrive; to come round; ever since; next,,
262,3-262,蓝,lan2,blue; indigo plant,,
263,3-263,老,lao3,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough,,
264,1-54,老师,lao3 shi1,"teacher; CL:個|个[ge4],位[wei4]",,
265,1-55,了,le5,(modal particle intensifying preceding clause); (completed action marker),,
266,2-119,累,lei4,tired; weary; to strain; to wear out; to work hard,,
267,1-56,冷,leng3,cold,,
268,2-121,离,li2,to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old),,
269,3-269,离开,li2 kai1,to depart; to leave,,
270,1-57,里,li3,lining; interior; inside; internal; also written 裡|里 [li3],,
271,3-271,礼物,li3 wu4,"gift; present; CL:件[jian4],個|个[ge4],份[fen4]",,
272,3-272,历史,li4 shi3,"history; CL:門|门[men2],段[duan4]",,
273,3-273,脸,lian3,"face; CL:張|张[zhang1],個|个[ge4]",,
274,3-274,练习,lian4 xi2,exercise; drill; practice; CL:個|个[ge4],,
275,2-123,两,liang3,both; two; ounce; some; a few; tael; weight equal to 50 grams,,
276,3-276,辆,liang4,classifier for vehicles,,
277,3-277,了解,liao3 jie3,to understand; to realize; to find out,,
278,3-278,邻居,lin2 ju1,neighbor; next door; CL:個|个[ge4],,
279,1-58,零,ling2,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division); extra; to wither and fall; to wither,,
280,1-59,六,liu4,six; 6,,
281,3-281,楼,lou2,"house with more than 1 story; storied building; floor; CL:層|层[ceng2],座[zuo4],棟|栋[dong4]",,
282,2-126,路,lu4,road; path; way; CL:條|条[tiao2],,
283,2-127,旅游,lv3 you2,trip; journey; tourism; travel; tour,,
284,3-284,绿,lv4,green,,
285,1-60,妈妈,ma1 ma5,"mama; mommy; mother; CL:個|个[ge4],位[wei4]",,
